city,time,temperature_c,humidity_%,wind_speed_m_s,feels_like_c,extracted_at
Bengaluru,2025-11-10 10:10:49.822498+00:00,27.33,46,3.13,27.47,2025-11-10 10:10:49.822511+00:00
Mumbai,2025-11-10 10:10:50.266379+00:00,32.0,33,3.6,31.19,2025-11-10 10:10:50.266388+00:00
Chennai,2025-11-10 10:10:51.540699+00:00,30.2,71,5.81,35.79,2025-11-10 10:10:51.540712+00:00
Kolkata,2025-11-10 10:10:51.881319+00:00,28.96,42,4.12,28.75,2025-11-10 10:10:51.881329+00:00
Delhi,2025-11-10 10:10:52.900345+00:00,26.07,31,1.54,26.07,2025-11-10 10:10:52.900358+00:00
Hyderabad,2025-11-10 10:10:53.471401+00:00,28.23,30,3.09,27.27,2025-11-10 10:10:53.471412+00:00
Pune,2025-11-10 10:10:53.864124+00:00,28.52,35,1.36,27.78,2025-11-10 10:10:53.864134+00:00
Ahmedabad,2025-11-10 10:10:54.573897+00:00,28.02,21,1.54,26.78,2025-11-10 10:10:54.573909+00:00
Jaipur,2025-11-10 10:10:55.394920+00:00,26.68,17,3.6,25.8,2025-11-10 10:10:55.394934+00:00
Lucknow,2025-11-10 10:10:56.419815+00:00,27.05,32,1.03,26.53,2025-11-10 10:10:56.419824+00:00
Chandigarh,2025-11-10 10:10:57.134451+00:00,24.56,26,2.5,23.75,2025-11-10 10:10:57.134461+00:00
Bhopal,2025-11-10 10:10:58.573237+00:00,26.18,22,1.54,26.18,2025-11-10 10:10:58.573247+00:00
Indore,2025-11-10 10:10:58.986159+00:00,27.08,28,2.06,26.39,2025-11-10 10:10:58.986170+00:00
Patna,2025-11-10 10:11:00.511561+00:00,26.98,36,2.57,26.66,2025-11-10 10:11:00.511571+00:00
Nagpur,2025-11-10 10:11:01.007642+00:00,27.0,24,1.54,26.21,2025-11-10 10:11:01.007652+00:00
Visakhapatnam,2025-11-10 10:11:02.560603+00:00,28.78,58,4.12,30.39,2025-11-10 10:11:02.560616+00:00
Surat,2025-11-10 10:11:04.098785+00:00,30.94,25,0.0,29.28,2025-11-10 10:11:04.098799+00:00
Coimbatore,2025-11-10 10:11:04.811529+00:00,30.78,51,1.03,32.45,2025-11-10 10:11:04.811539+00:00
Vadodara,2025-11-10 10:11:05.164292+00:00,31.0,20,0.0,29.08,2025-11-10 10:11:05.164303+00:00
Guwahati,2025-11-10 10:11:10.480509+00:00,29.0,58,2.06,30.73,2025-11-10 10:11:10.480517+00:00
